_RAJ2000_1,_DEJ2000_1,Names_1,RAJ2000_1,DEJ2000_1,Type_1,amaj_1,bmin,l_logAge,logAge,r_logAge,__M_H_,r__M_H_,PapI,B18,SimbadName_1,recno_1,_RAJ2000_2,_DEJ2000_2,Names_2,RAJ2000_2,DEJ2000_2,Type_2,amaj_2,amin,PA,Com,SimbadName_2,recno_2,Separation
4.592083333333332,-71.45055555555555,OGLS 264,4.592083333333333,-71.45055555555555,"  C",0.6,0.6," ",,,,,0,B18,OGLE-CL SMC  264,4,,,,,,,,,,,,,
4.733749999999999,-73.96027777777778,OGLS 266,4.73375,-73.96027777777776,"  C",1.75,1.75," ",,,,,0,B18,OGLE-CL SMC  266,7,,,,,,,,,,,,,
4.954166666666666,-73.30166666666668,OGLS 268,4.954166666666666,-73.30166666666666,"  C",1.15,1.15," ",,,,,0,B18,OGLE-CL SMC  268,10,,,,,,,,,,,,,
5.99375,-73.63416666666666,B3,5.9937499999999995,-73.63416666666666," CA",1.2,1.1," ",,,,,1,B18,Bruck 3,15,,,,,,,,,,,,,
6.059166666666665,-73.99333333333333,RZ1,6.059166666666666,-73.99333333333333," CA",1.3,1.3," ",9.1,RZ05,,,0,B18,[RZ2005] 1,16,,,,,,,,,,,,,
6.324583333333332,-73.86972222222221,OGLS 265,6.324583333333332,-73.86972222222221,"  C",1.3,1.3," ",,,,,0,B18,OGLE-CL SMC  265,20,,,,,,,,,,,,,
6.520416666666667,-74.41666666666667,OGLS 270,6.520416666666666,-74.41666666666666,"  C",1.67,1.67," ",,,,,0,B18,OGLE-CL SMC  270,22,,,,,,,,,,,,,
6.618333333333333,-74.14999999999999,B5,6.618333333333332,-74.14999999999999," CC",0.3,0.2," ",,,,,0,B18,,23,,,,,,,,,,,,,
6.636666666666666,-73.63527777777777,OGLS 267,6.636666666666666,-73.63527777777777,"  C",1.75,1.75," ",,,,,0,B18,OGLE-CL SMC  267,24,,,,,,,,,,,,,
6.987083333333333,-74.0011111111111,HW2,6.987083333333333,-74.0011111111111," AC",0.95,0.95," ",7.6,GGK10,,,1,B18,HW 2,27,,,,,,,,,,,,,
7.010833333333331,-76.35333333333332,OGLS 263,7.010833333333332,-76.35333333333332,"  C",0.63,0.63," ",,,,,0,B18,OGLE-CL SMC  263,30,,,,,,,,,,,,,
7.014999999999998,-73.05888888888887,H86-3,7.014999999999999,-73.05888888888887," AC",0.75,0.55," ",,,,,1,B18,[H86] 3,31,,,,,,,,,,,,,
7.165416666666665,-74.39888888888889,OGLS 330,7.165416666666665,-74.39888888888888,"  C",1.7,1.7," ",,,,,0,B18,OGLE-CL SMC  330,33,,,,,,,,,,,,,
7.345416666666665,-72.99916666666665,H86-6,7.345416666666666,-72.99916666666665," AC",0.6,0.45," ",9.1,GGK10,,,1,B18,[H86] 6,34,,,,,,,,,,,,,
7.479583333333333,-73.69916666666666,"HW3,RZ6",7.479583333333332,-73.69916666666666," CA",1.5,1.1," ",8.0,"GGK10,RZ05",,,1,B18,HW 3,35,,,,,,,,,,,,,
7.4925000000000015,-73.21,H86-1,7.492499999999999,-73.21," CC",0.6,0.6," ",,,,,0,B18,,36,,,,,,,,,,,,,
7.511249999999999,-73.12333333333332,BUS806,7.511249999999999,-73.12333333333332,"  A",2.32,2.32," ",8.85,BGB+18,,,0,B18,[BGB2018] SMC-NUV-806,38,,,,,,,,,,,,,
7.514166666666665,-73.335,BS3,7.514166666666665,-73.335," AC",0.55,0.55," ",,,,,1,B18,[BS95] 3,39,,,,,,,,,,,,,
7.524166666666665,-73.34138888888889,H86-2,7.524166666666666,-73.34138888888889," AC",0.65,0.6," ",8.65,GGK10,,,1,B18,[H86] 2,40,,,,,,,,,,,,,
7.525416666666667,-74.00472222222221,BIS203,7.525416666666666,-74.00472222222221,"  A",1.58,1.58," ",8.86,BGB+18,,,0,B18,[BGB2018] SMC-IR1-203,41,,,,,,,,,,,,,
7.534583333333332,-73.96305555555554,BUS653,7.534583333333332,-73.96305555555554,"  A",1.18,1.18," ",8.28,BGB+18,,,0,B18,[BGB2018] SMC-NUV-653,43,,,,,,,,,,,,,
7.584999999999997,-73.4575,BUS755,7.584999999999999,-73.4575,"  A",1.18,1.18," ",8.5,BGB+18,,,0,B18,[BGB2018] SMC-NUV-755,44,,,,,,,,,,,,,
7.592083333333331,-73.17638888888888,BUS801,7.592083333333332,-73.17638888888888,"  A",1.18,1.18," ",8.34,BGB+18,,,0,B18,[BGB2018] SMC-NUV-801,45,,,,,,,,,,,,,
7.609583333333333,-72.21916666666665,BIS353,7.609583333333332,-72.21916666666665,"  A",2.19,2.19," ",8.54,BGB+18,,,0,B18,[BGB2018] SMC-IR1-353,47,,,,,,,,,,,,,
7.611666666666666,-73.86416666666668,BIS209,7.6116666666666655,-73.86416666666666,"  A",1.56,1.56," ",8.6,BGB+18,,,0,B18,[BGB2018] SMC-IR1-209,48,,,,,,,,,,,,,
7.6145833333333295,-73.80583333333333,HW4,7.614583333333332,-73.80583333333333," AC",1.2,1.0," ",,,,,1,B18,HW4,49,,,,,,,,,,,,,
7.616666666666665,-73.6522222222222,BIS219,7.616666666666665,-73.6522222222222,"  A",1.56,1.56," ",8.9,BGB+18,,,0,B18,[BGB2018] SMC-IR1-219,50,,,,,,,,,,,,,
7.621666666666665,-72.84750000000001,BIS274,7.621666666666665,-72.8475,"  A",1.56,1.56," ",9.78,BGB+18,,,0,B18,[BGB2018] SMC-IR1-274,51,,,,,,,,,,,,,
7.666666666666667,-73.3586111111111,BIS230,7.666666666666666,-73.3586111111111,"  A",2.82,2.82," ",9.12,BGB+18,,,0,B18,[BGB2018] SMC-IR1-230,52,,,,,,,,,,,,,
7.672500000000001,-72.91138888888888,BIS268,7.672499999999999,-72.91138888888888,"  A",2.03,2.03," ",9.19,BGB+18,,,0,B18,[BGB2018] SMC-IR1-268,53,,,,,,,,,,,,,
7.719999999999999,-74.16166666666666,BUS617,7.719999999999999,-74.16166666666666,"  A",2.14,2.14," ",9.07,BGB+18,,,0,B18,[BGB2018] SMC-NUV-617,54,,,,,,,,,,,,,
7.733333333333332,-74.30583333333333,BUS578,7.7333333333333325,-74.30583333333333,"  A",1.18,1.18," ",8.84,BGB+18,,,0,B18,[BGB2018] SMC-NUV-578,55,,,,,,,,,,,,,
7.74125,-74.12083333333334,BUS620,7.741249999999999,-74.12083333333332,"  A",1.77,1.77," ",7.91,BGB+18,,,0,B18,[BGB2018] SMC-NUV-620,56,,,,,,,,,,,,,
7.814999999999999,-72.80805555555554,BUS840,7.814999999999999,-72.80805555555554,"  A",3.36,3.36," ",9.3,BGB+18,,,0,B18,[BGB2018] SMC-NUV-840,58,,,,,,,,,,,,,
7.817916666666666,-73.4425,H86-7,7.817916666666665,-73.4425,"  C",0.5,0.4," ",,,,,0,B18,,59,,,,,,,,,,,,,
7.825833333333331,-74.49138888888888,BIS182,7.825833333333333,-74.49138888888888,"  A",1.56,1.56," ",9.48,BGB+18,,,0,B18,[BGB2018] SMC-IR1-182,60,,,,,,,,,,,,,
7.884166666666664,-72.97527777777776,BIS271,7.884166666666665,-72.97527777777776,"  A",1.56,1.56," ",9.63,BGB+18,,,0,B18,[BGB2018] SMC-IR1-271,62,,,,,,,,,,,,,
7.8975,-71.61166666666666,BIS463,7.897499999999999,-71.61166666666665,"  A",1.56,1.56," ",9.07,BGB+18,,,0,B18,[BGB2018] SMC-IR1-463,63,,,,,,,,,,,,,
7.91875,-73.79499999999999,"SMC-N3,DEMS1,BIS217",7.918749999999999,-73.79499999999999," NC",1.1,1.1," ",8.12,BGB+18,,,1,B18,DEM S 1,64,,,,,,,,,,,,,
7.955,-73.1847222222222,BUS802,7.954999999999999,-73.1847222222222,"  A",1.18,1.18," ",9.02,BGB+18,,,0,B18,[BGB2018] SMC-NUV-802,65,,,,,,,,,,,,,
7.9679166666666665,-73.56333333333332,BUS732,7.967916666666666,-73.56333333333332,"  A",1.45,1.45," ",7.96,BGB+18,,,0,B18,[BGB2018] SMC-NUV-732,66,,,,,,,,,,,,,
8.031666666666665,-72.04722222222222,BIS399,8.031666666666666,-72.04722222222222,"  A",2.1,2.1," ",9.11,BGB+18,,,0,B18,[BGB2018] SMC-IR1-399,67,,,,,,,,,,,,,
8.06583333333333,-74.19638888888888,BUS612,8.065833333333332,-74.19638888888888,"  A",1.18,1.18," ",9.31,BGB+18,,,0,B18,[BGB2018] SMC-NUV-612,68,,,,,,,,,,,,,
8.087083333333334,-73.19277777777776,BUS800,8.087083333333332,-73.19277777777776,"  A",1.18,1.18," ",9.27,BGB+18,,,0,B18,[BGB2018] SMC-NUV-800,69,,,,,,,,,,,,,
8.089999999999998,-71.37833333333334,BUS1028,8.089999999999998,-71.37833333333333,"  A",2.37,2.37," ",9.37,BGB+18,,,0,B18,[BGB2018] SMC-NUV-1028,70,,,,,,,,,,,,,
8.174999999999997,-72.80916666666667,BUS852,8.174999999999999,-72.80916666666666,"  A",1.18,1.18," ",8.81,BGB+18,,,0,B18,[BGB2018] SMC-NUV-852,73,,,,,,,,,,,,,
8.225416666666666,-73.63972222222222,BS8,8.225416666666666,-73.63972222222222," AC",0.6,0.6," ",,,,,1,B18,[BS95] 8,75,,,,,,,,,,,,,
8.247916666666665,-73.00055555555555,BIS276,8.247916666666665,-73.00055555555555,"  A",1.6,1.6," ",9.36,BGB+18,,,0,B18,[BGB2018] SMC-IR1-276,78,,,,,,,,,,,,,
8.252916666666666,-72.98833333333333,"H86-12,Piatti 1,SMASH 4-1",8.252916666666666,-72.98833333333333,"  C",0.3,0.3," ",,,,,0,B18,,79,,,,,,,,,,,,,
8.262916666666666,-72.63833333333332,BIS328,8.262916666666666,-72.63833333333332,"  A",1.56,1.56," ",8.91,BGB+18,,,0,B18,[BGB2018] SMC-IR1-328,81,,,,,,,,,,,,,
8.285833333333333,-73.7461111111111,BUS681,8.285833333333333,-73.7461111111111,"  A",1.78,1.78," ",8.07,BGB+18,,,0,B18,[BGB2018] SMC-NUV-681,82,,,,,,,,,,,,,
8.298749999999997,-74.49472222222222,BUS545,8.298749999999998,-74.49472222222221,"  A",3.36,3.36," ",8.62,BGB+18,,,0,B18,[BGB2018] SMC-NUV-545,83,,,,,,,,,,,,,
8.321666666666665,-71.58999999999999,BIS475,8.321666666666665,-71.58999999999999,"  A",3.33,3.33," ",9.96,BGB+18,,,0,B18,[BGB2018] SMC-IR1-475,84,,,,,,,,,,,,,
8.338749999999997,-73.63027777777776,BUS687,8.33875,-73.63027777777776,"  A",3.36,3.36," ",8.13,BGB+18,,,0,B18,[BGB2018] SMC-NUV-687,85,,,,,,,,,,,,,
8.341249999999999,-74.41166666666666,BIS197,8.341249999999999,-74.41166666666666,"  A",1.56,1.56," ",8.78,BGB+18,,,0,B18,[BGB2018] SMC-IR1-197,86,,,,,,,,,,,,,
8.342916666666667,-73.7713888888889,BUS674,8.342916666666666,-73.77138888888888,"  A",2.45,2.45," ",8.54,BGB+18,,,0,B18,[BGB2018] SMC-NUV-674,87,,,,,,,,,,,,,
8.351249999999999,-72.88138888888888,H86-14,8.351249999999999,-72.88138888888888," CC",0.3,0.3," ",,,,,0,B18,,88,,,,,,,,,,,,,
8.352083333333333,-73.05611111111111,BUS814,8.352083333333333,-73.05611111111111,"  A",1.9,1.9," ",8.74,BGB+18,,,0,B18,[BGB2018] SMC-NUV-814,89,,,,,,,,,,,,,
8.364166666666666,-74.36166666666665,OGLS 271,8.364166666666666,-74.36166666666665,"  C",1.2,1.2," ",,,,,0,B18,OGLE-CL SMC  271,90,,,,,,,,,,,,,
8.366666666666665,-74.36277777777777,OGLS 273,8.366666666666665,-74.36277777777777,"  C",1.35,1.35," ",,,,,0,B18,OGLE-CL SMC  273,91,,,,,,,,,,,,,
8.37,-73.03277777777777,BUS820,8.37,-73.03277777777777,"  A",1.29,1.29," ",8.91,BGB+18,,,0,B18,[BGB2018] SMC-NUV-820,92,,,,,,,,,,,,,
8.382083333333332,-71.90583333333333,BIS439,8.382083333333332,-71.90583333333332,"  A",1.56,1.56," ",8.9,BGB+18,,,0,B18,[BGB2018] SMC-IR1-439,94,,,,,,,,,,,,,
8.385416666666666,-73.75777777777776,BIS221,8.385416666666666,-73.75777777777776,"  A",1.56,1.56," ",9.11,BGB+18,,,0,B18,[BGB2018] SMC-IR1-221,95,,,,,,,,,,,,,
8.520000000000001,-73.20361111111109,BIS260,8.52,-73.2036111111111,"  A",2.33,2.33," ",9.26,BGB+18,,,0,B18,[BGB2018] SMC-IR1-260,98,,,,,,,,,,,,,
8.57875,-73.01833333333333,BUS822,8.57875,-73.01833333333333,"  A",2.12,2.12," ",8.16,BGB+18,,,0,B18,[BGB2018] SMC-NUV-822,100,,,,,,,,,,,,,
8.581249999999999,-72.83277777777776,BIS308,8.581249999999999,-72.83277777777776,"  A",1.6,1.6," ",9.32,BGB+18,,,0,B18,[BGB2018] SMC-IR1-308,101,,,,,,,,,,,,,
8.611666666666666,-72.97166666666666,B7A,8.611666666666666,-72.97166666666666," CC",0.25,0.2," ",,,,,0,B18,,102,,,,,,,,,,,,,
8.632083333333334,-72.97333333333333,B7,8.632083333333332,-72.97333333333333," CC",0.3,0.25," ",,,,,0,B18,,103,,,,,,,,,,,,,
8.643749999999999,-72.18944444444443,BIS404,8.643749999999999,-72.18944444444443,"  A",1.62,1.62," ",8.86,BGB+18,,,0,B18,[BGB2018] SMC-IR1-404,104,,,,,,,,,,,,,
8.703749999999998,-74.70527777777778,OGLS 269,8.70375,-74.70527777777777,"  C",1.75,1.75," ",,,,,0,B18,OGLE-CL SMC  269,106,,,,,,,,,,,,,
8.706249999999999,-73.36194444444443,BIS246,8.706249999999999,-73.36194444444443,"  A",2.06,2.06," ",9.32,BGB+18,,,0,B18,[BGB2018] SMC-IR1-246,107,,,,,,,,,,,,,
8.709166666666665,-74.48833333333333,BIS195,8.709166666666665,-74.48833333333333,"  A",1.94,1.94," ",8.71,BGB+18,,,0,B18,[BGB2018] SMC-IR1-195,108,,,,,,,,,,,,,
8.762083333333333,-73.03777777777776,BS9,8.762083333333333,-73.03777777777776," AC",0.75,0.65," ",8.8,GGK10,,,1,B18,[BS95] 9,111,,,,,,,,,,,,,
8.794166666666667,-73.94138888888888,BUS658,8.794166666666666,-73.94138888888888,"  A",1.25,1.25," ",8.6,BGB+18,,,0,B18,[BGB2018] SMC-NUV-658,112,,,,,,,,,,,,,
8.799166666666666,-73.72222222222223,B8,8.799166666666666,-73.72222222222221," CC",0.5,0.5," ",,,,,0,B18,,113,,,,,,,,,,,,,
8.820833333333335,-73.71111111111111,BIS229,8.820833333333333,-73.71111111111111,"  A",1.56,1.56," ",8.66,BGB+18,,,0,B18,[BGB2018] SMC-IR1-229,115,,,,,,,,,,,,,
8.825833333333332,-72.52388888888889,BIS371,8.825833333333332,-72.52388888888888,"  A",1.56,1.56," ",9.15,BGB+18,,,0,B18,[BGB2018] SMC-IR1-371,116,,,,,,,,,,,,,
8.837499999999999,-71.63499999999999,BIS504,8.837499999999999,-71.63499999999999,"  A",1.56,1.56," ",9.83,BGB+18,,,0,B18,[BGB2018] SMC-IR1-504,117,,,,,,,,,,,,,
8.858749999999999,-73.30472222222221,BIS256,8.858749999999999,-73.30472222222221,"  A",3.36,3.36," ",9.37,BGB+18,,,0,B18,[BGB2018] SMC-IR1-256,119,,,,,,,,,,,,,
8.929166666666667,-73.35666666666665,SBica 1,8.929166666666665,-73.35666666666665," NC",0.2,0.2," ",,,,,0,B18,,123,,,,,,,,,,,,,
8.931666666666665,-73.35277777777777,SBica 2,8.931666666666665,-73.35277777777777," NC",0.3,0.3," ",,,,,0,B18,,124,,,,,,,,,,,,,
8.9325,-73.37027777777779,H86-27,8.9325,-73.37027777777777," AC",1.0,0.6," ",,,,,1,B18,[H86] 27,125,,,,,,,,,,,,,
8.93708333333333,-73.93083333333333,BUS662,8.937083333333332,-73.93083333333333,"  A",1.18,1.18," ",8.5,BGB+18,,,0,B18,[BGB2018] SMC-NUV-662,126,,,,,,,,,,,,,
9.024166666666666,-71.16472222222221,BIS587,9.024166666666666,-71.16472222222221,"  A",2.84,2.84," ",8.59,BGB+18,,,0,B18,[BGB2018] SMC-IR1-587,130,,,,,,,,,,,,,
9.056249999999999,-73.82222222222221,BUS670,9.056249999999999,-73.82222222222221,"  A",1.29,1.29," ",8.18,BGB+18,,,0,B18,[BGB2018] SMC-NUV-670,132,,,,,,,,,,,,,
9.057916666666666,-72.84694444444443,BUS846,9.057916666666666,-72.84694444444443,"  A",1.56,1.56," ",8.78,BGB+18,,,0,B18,[BGB2018] SMC-NUV-846,133,,,,,,,,,,,,,
9.07125,-71.12583333333332,BIS590,9.07125,-71.12583333333332,"  A",2.14,2.14," ",9.09,BGB+18,,,0,B18,[BGB2018] SMC-IR1-590,135,,,,,,,,,,,,,
9.092916666666664,-73.01305555555555,BIS293,9.092916666666666,-73.01305555555555,"  A",3.36,3.36," ",8.62,BGB+18,,,0,B18,[BGB2018] SMC-IR1-293,137,,,,,,,,,,,,,
9.13125,-74.92972222222221,OGLS 272,9.13125,-74.92972222222221,"  C",1.3,1.3," ",,,,,0,B18,OGLE-CL SMC  272,141,,,,,,,,,,,,,
9.200833333333334,-74.96249999999999,B13,9.200833333333332,-74.96249999999999," CC",1.2,0.9," ",,,,,0,B18,,143,,,,,,,,,,,,,
9.207083333333333,-73.07138888888888,H86-36,9.207083333333332,-73.07138888888888," AC",0.8,0.55," ",8.8,"GGK10,CVH+06",,,1,B18,[H86] 36,144,,,,,,,,,,,,,
9.227500000000001,-72.96833333333332,BUS826,9.2275,-72.96833333333332,"  A",1.77,1.77," ",8.54,BGB+18,,,0,B18,[BGB2018] SMC-NUV-826,145,,,,,,,,,,,,,
9.285833333333333,-72.98499999999999,SBica 3,9.285833333333333,-72.98499999999999," NC",0.25,0.25," ",,,,,0,B18,,146,,,,,,,,,,,,,
9.295416666666666,-72.56638888888887,BUS878,9.295416666666666,-72.56638888888888,"  A",1.18,1.18," ",8.81,BGB+18,,,0,B18,[BGB2018] SMC-NUV-878,147,,,,,,,,,,,,,
9.297500000000001,-72.82,BUS851,9.2975,-72.82,"  A",1.18,1.18," ",8.73,BGB+18,,,0,B18,[BGB2018] SMC-NUV-851,148,,,,,,,,,,,,,
