,key,MV,rhalf_sph_physical,vlos_sigma,vlos_sigma_upper_limit,ref_structure,ref_mv
0,antlia_2,-9.73,1513.705618,5.98,,Ji2021ApJ...921...32J,Ji2021ApJ...921...32J
1,aquarius_2,-4.36,125.0209099,4.7,,Torrealba2016MNRAS.463..712T,Torrealba2016MNRAS.463..712T
2,bootes_1,-6.02,160.1453124,4.6,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
3,bootes_2,-2.94,33.54017324,2.9,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
4,bootes_3,-5.75,451.395456,14.0,,Moskowitz2020ApJ...892...27M,
5,bootes_4,-4.53,277.2280984,,,Homma2019PASJ...71...94H,Homma2019PASJ...71...94H
6,bootes_5,-3.2,20.16902363,,,Cerny2022arXiv220912422C,Cerny2022arXiv220912422C
7,canes_venatici_1,-8.8,325.4763365,7.6,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
8,canes_venatici_2,-5.17,54.79807633,4.6,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
9,carina_1,-9.43,248.1997823,6.6,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
10,carina_2,-4.57,76.80499472,3.4,,Torrealba2018MNRAS.475.5085T,Torrealba2018MNRAS.475.5085T
11,carina_3,-2.4,20.34269266,5.6,,Torrealba2018MNRAS.475.5085T,Torrealba2018MNRAS.475.5085T
12,centaurus_1,-5.55,75.99402634,,,Mau2020ApJ...890..136M,Mau2020ApJ...890..136M
13,cetus_2,0.0,16.58062789,,,DrlicaWagner2015ApJ...813..109D,DrlicaWagner2015ApJ...813..109D
14,cetus_3,-2.45,43.99573434,,,Homma2018PASJ...70S..18H,Homma2018PASJ...70S..18H
15,columba_1,-4.2,97.98258835,,6.7,Carlin2017AJ....154..267C,Carlin2017AJ....154..267C
16,coma_berenices_1,-4.38,54.69212356,4.6,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
17,crater_2,-8.2,1066.396173,2.34,,Torrealba2016MNRAS.459.2370T,Torrealba2016MNRAS.459.2370T
18,draco_1,-8.71,179.6598246,9.1,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
19,eridanus_2,-7.1,177.3457782,6.9,,Crnojevic2016ApJ...824L..14C,Crnojevic2016ApJ...824L..14C
20,eridanus_4,-4.7,74.14749391,,,Cerny2021ApJ...920L..44C,Cerny2021ApJ...920L..44C
21,fornax_1,-13.46,717.9863339,12.1,,Wang2019ApJ...881..118W,Munoz2018ApJ...860...66M
22,grus_1,-4.3,115.0051218,2.5,,Cantu2021ApJ...916...81C,Cantu2021ApJ...916...81C
23,grus_2,-3.5,94.39322371,,2.0,Simon2020ApJ...892..137S,Simon2020ApJ...892..137S
24,hercules_1,-5.83,119.0854044,5.1,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
25,horologium_1,-3.4,35.17299276,4.9,,Moskowitz2020ApJ...892...27M,Koposov2015ApJ...805..130K
26,horologium_2,-2.6,32.85395248,,,Kim2015ApJ...808L..39K,Kim2015ApJ...808L..39K
27,hydra_2,-5.1,74.29671006,,4.5,Martin2015ApJ...804L...5M,Martin2015ApJ...804L...5M
28,hydrus_1,-4.71,52.94837673,2.7,,Koposov2018MNRAS.479.5343K,Koposov2018MNRAS.479.5343K
29,leo_1,-11.78,229.3634643,9.2,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
30,leo_2,-9.74,164.7115497,7.4,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
31,leo_4,-4.99,101.9118664,3.3,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
32,leo_5,-4.4,37.11506707,3.2,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
33,leo_minor_1,-2.4,25.99958809,,,Cerny2022arXiv220912422C,Cerny2022arXiv220912422C
34,pegasus_3,-4.17,82.89938773,5.4,,Richstein2022ApJ...933..217R,Richstein2022ApJ...933..217R
35,pegasus_4,-4.25,40.57890511,3.3,,Cerny2023ApJ...942..111C,Cerny2023ApJ...942..111C
36,phoenix_2,-2.7,28.42424889,,21.2,MutluPakdil2018ApJ...863...25M,MutluPakdil2018ApJ...863...25M
37,pictor_1,-3.1,31.68346973,,,Moskowitz2020ApJ...892...27M,Koposov2015ApJ...805..130K
38,pictor_2,-3.2,46.39614039,,,DrlicaWagner2016ApJ...833L...5D,DrlicaWagner2016ApJ...833L...5D
39,pisces_2,-4.28,56.61770745,5.4,,Richstein2022ApJ...933..217R,Richstein2022ApJ...933..217R
40,reticulum_2,-3.1,36.39370835,3.6,,MutluPakdil2018ApJ...863...25M,MutluPakdil2018ApJ...863...25M
41,reticulum_3,-3.3,64.22811647,,8.3,DrlicaWagner2015ApJ...813..109D,DrlicaWagner2015ApJ...813..109D
42,sagittarius_1,-13.5,1569.853849,,,McConnachie2012AJ....144....4M,McConnachie2012AJ....144....4M
43,sculptor_1,-10.82,223.1406288,9.2,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
44,segue_1,-1.3,19.82439421,3.7,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
45,segue_2,-1.86,35.35430863,,2.6,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
46,sextans_1,-8.72,345.3484671,7.9,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
47,triangulum_2,-1.2,17.27959208,,4.2,Carlin2017AJ....154..267C,Carlin2017AJ....154..267C
48,tucana_2,-3.8,169.8525008,3.8,,Koposov2015ApJ...805..130K,Koposov2015ApJ...805..130K
49,tucana_3,-1.3,30.38622639,,1.5,MutluPakdil2018ApJ...863...25M,MutluPakdil2018ApJ...863...25M
50,tucana_4,-3.0,99.30516588,4.3,,Simon2020ApJ...892..137S,Simon2020ApJ...892..137S
51,tucana_5,-1.1,23.51831167,,7.4,Simon2020ApJ...892..137S,Simon2020ApJ...892..137S
52,ursa_major_1,-5.13,150.6024058,7.0,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
53,ursa_major_2,-4.25,92.39766935,6.7,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
54,ursa_minor_1,-8.72,235.6825342,8.6,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
55,virgo_1,-0.33,29.83129492,,,Homma2018PASJ...70S..18H,Homma2018PASJ...70S..18H
56,virgo_2,-1.6,15.49852376,,,Cerny2022arXiv220912422C,Cerny2022arXiv220912422C
57,willman_1,-2.53,20.19860471,4.5,,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M
