key,Name,ra,dec,rhalf,rhalf_error,position_angle,position_angle_error,ellipticity,ellipticity_error,ref_structure,dm,dm_error,dist,dist_error,ref_distance,rhalf_physical,rhalf_sph_physical,MV,MV_error,ref_mv,vlos_systemic,vlos_systemic_error,vlos_sigma,vlos_sigma_error,vlos_sigma_upper_limit,ref_spectra,,dr3_pmra,dr3_pmra_error,dr3_pmdec,dr3_pmdec_error,ref_dr3_proper_motion,dr2_pmra,dr2_pmra_error,dr2_pmdec,dr2_pmdec_error,ref_dr2_proper_motion,metallicity,metallicity_error,ref_metallicity,rcore,rcore_error,rking,rking_error,king_concentration,king_concentration_error,ref_king,age,age_error,ref_age,other_names
2ms_gc01,,272.090875,-19.82972222,1.65,,,,,,,12.7815125,,3.6,,,1.727875959,1.727875959,-6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ms_gc02,,272.4020833,-20.77888889,0.55,,,,,,,13.4509804,,4.9,,,0.7839437224,0.7839437224,-4.86,,,-238,36,,,,,,,,,,,,,,,,-1.08,,,,,,,,,,,,,
am_1,AM_1,58.75958333,-49.61527778,0.41,,,,,,,20.45481538,,123.3,,,14.70527161,14.70527161,-4.73,,,116,20,,,,,,,,,,,,,,,,-1.7,,,,,,,,,,,,,
am_4,AM_4,209.0904167,-27.1675,0.43,,,,,,,17.53927936,,32.2,,,4.027638137,4.027638137,-1.81,,,,,,,,,,,,,,,,,,,,-1.3,,,,,,,,,,,,,
arp_2,Arp_2,292.1837917,-30.35563889,1.77,,,,,,,17.28183017,,28.6,,,14.7253429,14.7253429,-5.29,,,115,10,,,,,,,,,,,,,,,,-1.75,,,,,,,,,,,,,
bh_176,BH_176,234.7810417,-50.05272222,0.9,,,,,,,16.38230902,,18.9,,,4.948008429,4.948008429,-4.06,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
bh_261,BH_261_AL_3,273.5275,-28.635,0.55,,,,,,,14.06456678,,6.5,,,1.039925346,1.039925346,-4.19,,,,,,,,,,,,,,,,,,,,-1.3,,,,,,,,,,,,,
djorgovski_1,Djorg_1,266.8679167,-33.06555556,1.59,,,,,,,15.68360284,,13.7,,,6.336417849,6.336417849,-6.98,,,-362.4,3.6,,,,,,,,,,,,,,,,-1.51,,,,,,,,,,,,,
djorgovski_2,Djorg_2_ESO456,270.4545833,-27.82583333,1.05,,,,,,,13.99670275,,6.3,,,1.9242255,1.9242255,-7,,,,,,,,,,,,,,,,,,,,-0.65,,,,,,,,,,,,,ESO 456-SC3
e_3,E_3,140.2377917,-77.28188889,2.1,,,,,,,14.54242509,,8.1,,,4.948008429,4.948008429,-4.12,,,,,,,,,,,,,,,,,,,,-0.83,,,,,,,,,,,,,
eridanus_1,Eridanus,66.18541667,-21.18694444,0.46,,,,,,,19.77362395,,90.1,,,12.0561527,12.0561527,-5.13,,,-23.6,2.1,,,,,,,,,,,,,,,,-1.43,,,,,,,,,,,,,
eso_280_sc06,ESO280_SC06,272.275,-46.42305556,1.05,,,,,,,16.8,0.2,22.9,2.1,Simpson2018MNRAS.477.4565S,6.994406977,6.994406977,-4.87,,,92.5,2,,,,Simpson2018MNRAS.477.4565S,,,,,,,,,,,,-2.48,0.085,Simpson2018MNRAS.477.4565S,,,,,,,,,,,
eso_452_sc11,ESO452_SC11,249.8560417,-28.39869444,0.5,,,,,,,14.59539046,,8.3,,,1.207186066,1.207186066,-4.02,,,,,,,,,,,,,,,,,,,,-1.5,,,,,,,,,,,,,
fsr_1735,FSR_1735,253.0441667,-47.05805556,0.34,,,,,,,14.95613038,,9.8,,,0.9692395113,0.9692395113,-6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
